;gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cell;cancer
323;NEU1;3.12E-27;0.423317756;0.266;0.149;7.15E-23;CD4T;Lung
324;MORF4L2;4.15E-27;0.413724512;0.394;0.26;9.50E-23;CD4T;Lung
325;DOK2;4.37E-27;0.394107763;0.45;0.311;1.00E-22;CD4T;Lung
326;LGALS3;1.18E-26;-0.436081944;0.336;0.413;2.70E-22;CD4T;Lung
327;HLA.DQA2;1.39E-26;0.360112832;0.148;0.06;3.18E-22;CD4T;Lung
328;NR3C1;1.58E-26;0.559235589;0.472;0.348;3.61E-22;CD4T;Lung
329;VAMP2;2.12E-26;-0.347756984;0.501;0.578;4.85E-22;CD4T;Lung
330;PTGES3;2.20E-26;0.280792786;0.71;0.583;5.05E-22;CD4T;Lung
331;ELL2;2.75E-26;0.324681988;0.228;0.12;6.30E-22;CD4T;Lung
332;CARD16;4.15E-26;0.610568557;0.302;0.198;9.49E-22;CD4T;Lung
333;DNAJA4;4.40E-26;0.298174898;0.267;0.157;1.01E-21;CD4T;Lung
334;HIST1H4C;4.47E-26;0.494026513;0.51;0.404;1.02E-21;CD4T;Lung
335;NR4A2;5.25E-26;0.468361434;0.527;0.402;1.20E-21;CD4T;Lung
336;CCL5;2.00E-25;-0.473980797;0.439;0.562;4.58E-21;CD4T;Lung
337;MOB4;2.44E-25;0.283488666;0.239;0.133;5.60E-21;CD4T;Lung
338;DUSP2;3.20E-25;0.439006198;0.724;0.623;7.33E-21;CD4T;Lung
339;FAM215B;4.32E-25;-0.366128735;0.095;0.176;9.90E-21;CD4T;Lung
340;FNIP1;6.51E-25;0.258642782;0.286;0.176;1.49E-20;CD4T;Lung
341;TSC22D3;8.73E-25;-0.325230252;0.913;0.948;2.00E-20;CD4T;Lung
342;BEST1;1.03E-24;-0.29045408;0.055;0.122;2.36E-20;CD4T;Lung
343;IL6ST;1.39E-24;0.412754311;0.265;0.154;3.19E-20;CD4T;Lung
344;TSHZ2;2.98E-24;0.521605602;0.186;0.097;6.83E-20;CD4T;Lung
345;FAM65B;5.66E-24;-0.342959388;0.121;0.2;1.29E-19;CD4T;Lung
346;FCGRT;6.78E-24;-0.27986535;0.046;0.1;1.55E-19;CD4T;Lung
347;CCT4;8.43E-24;0.34004593;0.502;0.372;1.93E-19;CD4T;Lung
348;YTHDC1;8.49E-24;0.289877581;0.284;0.172;1.94E-19;CD4T;Lung
349;RNF145;8.57E-24;0.291579403;0.221;0.121;1.96E-19;CD4T;Lung
350;TSPO;9.42E-24;-0.353641678;0.401;0.496;2.16E-19;CD4T;Lung
351;ANXA5;2.00E-23;-0.356349666;0.298;0.372;4.59E-19;CD4T;Lung
352;LDLRAD4;2.28E-23;0.358070192;0.246;0.14;5.21E-19;CD4T;Lung
353;AAK1;3.06E-23;0.367183581;0.451;0.328;7.02E-19;CD4T;Lung
354;DYNLT1;3.90E-23;-0.327543111;0.324;0.403;8.92E-19;CD4T;Lung
355;LDLR;4.03E-23;-0.337374569;0.068;0.121;9.23E-19;CD4T;Lung
356;FAM118A;4.11E-23;0.38528959;0.257;0.15;9.40E-19;CD4T;Lung
357;PPP1R15B;4.74E-23;0.287841985;0.146;0.064;1.08E-18;CD4T;Lung
358;FBLN7;7.45E-23;0.274315368;0.123;0.048;1.70E-18;CD4T;Lung
359;TRAF1;1.42E-22;0.285044779;0.165;0.079;3.26E-18;CD4T;Lung
360;GYG1;1.68E-22;-0.330568658;0.126;0.193;3.85E-18;CD4T;Lung
361;BST2;2.08E-22;0.374888762;0.357;0.24;4.76E-18;CD4T;Lung
362;NFKBIA;2.50E-22;0.414256471;0.818;0.741;5.73E-18;CD4T;Lung
363;DUSP1;3.31E-22;0.580757258;0.788;0.752;7.58E-18;CD4T;Lung
364;RALGAPA1;3.63E-22;0.32820336;0.297;0.185;8.32E-18;CD4T;Lung
365;G3BP2;4.15E-22;-0.337995422;0.418;0.464;9.51E-18;CD4T;Lung
366;IL2RA;6.88E-22;0.54648456;0.151;0.07;1.57E-17;CD4T;Lung
367;NFKB2;7.39E-22;0.273523843;0.277;0.172;1.69E-17;CD4T;Lung
368;CBFB;1.03E-21;-0.307865024;0.16;0.208;2.35E-17;CD4T;Lung
369;GLIPR2;1.62E-21;-0.32132119;0.118;0.186;3.70E-17;CD4T;Lung
370;CDV3;1.63E-21;0.291480436;0.229;0.131;3.73E-17;CD4T;Lung
371;CORO1B;2.00E-21;0.433784947;0.318;0.209;4.59E-17;CD4T;Lung
372;BICDL1;2.23E-21;0.261833329;0.162;0.08;5.11E-17;CD4T;Lung
373;AKAP13;2.54E-21;-0.307034151;0.496;0.529;5.82E-17;CD4T;Lung
374;NINJ1;3.80E-21;0.255119118;0.172;0.087;8.70E-17;CD4T;Lung
375;NASP;4.39E-21;0.30858453;0.404;0.284;1.00E-16;CD4T;Lung
376;ARID5B;4.63E-21;0.450381127;0.571;0.461;1.06E-16;CD4T;Lung
377;ZBTB16;5.33E-21;0.289248443;0.164;0.081;1.22E-16;CD4T;Lung
378;EIF4A3;6.18E-21;0.447561863;0.485;0.379;1.42E-16;CD4T;Lung
379;NUDC;7.60E-21;0.258860098;0.437;0.316;1.74E-16;CD4T;Lung
380;ELOVL5;8.13E-21;0.325286961;0.392;0.274;1.86E-16;CD4T;Lung
381;STK10;1.04E-20;-0.294769239;0.103;0.169;2.39E-16;CD4T;Lung
382;PTP4A1;1.14E-20;0.317843286;0.312;0.203;2.62E-16;CD4T;Lung
383;DDX3Y;1.43E-20;-0.272417749;0.048;0.107;3.26E-16;CD4T;Lung
384;FKBP11;1.55E-20;-0.317323965;0.177;0.249;3.54E-16;CD4T;Lung
385;11-Sep;1.90E-20;-0.336019612;0.108;0.165;4.34E-16;CD4T;Lung
386;CYSLTR1;2.43E-20;0.270127374;0.103;0.039;5.56E-16;CD4T;Lung
387;H2AFZ;3.93E-20;0.414884464;0.718;0.649;9.00E-16;CD4T;Lung
388;G0S2;4.08E-20;0.372177663;0.106;0.041;9.35E-16;CD4T;Lung
389;NKG7;7.15E-20;-0.611360035;0.109;0.188;1.64E-15;CD4T;Lung
390;PABPC1;8.20E-20;0.262707795;0.886;0.818;1.88E-15;CD4T;Lung
391;VMP1;1.06E-19;0.369420413;0.372;0.259;2.42E-15;CD4T;Lung
392;PTTG1;1.36E-19;0.252666064;0.243;0.151;3.12E-15;CD4T;Lung
393;HNRNPU;1.41E-19;0.29048517;0.558;0.438;3.22E-15;CD4T;Lung
394;SRSF2;1.52E-19;0.312979976;0.711;0.615;3.47E-15;CD4T;Lung
395;ATP1B3;1.58E-19;0.445032978;0.492;0.379;3.62E-15;CD4T;Lung
396;EVI2A;1.67E-19;0.346672805;0.417;0.303;3.83E-15;CD4T;Lung
397;METTL8;1.77E-19;0.307339502;0.113;0.047;4.04E-15;CD4T;Lung
398;HSP90B1;2.13E-19;-0.333508238;0.321;0.414;4.88E-15;CD4T;Lung
399;GNA15;2.29E-19;0.278187297;0.225;0.134;5.24E-15;CD4T;Lung
400;ST3GAL1;2.59E-19;-0.308528078;0.188;0.248;5.93E-15;CD4T;Lung
401;RGS10;3.41E-19;0.271631517;0.508;0.389;7.82E-15;CD4T;Lung
402;SYAP1;5.71E-19;0.369137185;0.398;0.288;1.31E-14;CD4T;Lung
403;HTATSF1;7.21E-19;-0.262663896;0.107;0.146;1.65E-14;CD4T;Lung
404;RABAC1;8.30E-19;-0.267935244;0.325;0.377;1.90E-14;CD4T;Lung
405;FLT3LG;8.69E-19;-0.288685468;0.149;0.218;1.99E-14;CD4T;Lung
406;SC5D;9.75E-19;0.378754854;0.386;0.279;2.23E-14;CD4T;Lung
407;ID3;1.20E-18;0.413871486;0.151;0.077;2.74E-14;CD4T;Lung
408;P4HB;1.20E-18;-0.291782072;0.266;0.342;2.75E-14;CD4T;Lung
409;FAM133B;1.89E-18;0.284187182;0.477;0.361;4.32E-14;CD4T;Lung
410;FYB;1.94E-18;0.276983568;0.671;0.559;4.45E-14;CD4T;Lung
411;SAT1;2.23E-18;0.516516466;0.777;0.711;5.10E-14;CD4T;Lung
412;ATF3;2.86E-18;0.313909965;0.277;0.18;6.56E-14;CD4T;Lung
413;RNF115;5.73E-18;-0.284778293;0.212;0.245;1.31E-13;CD4T;Lung
414;HCST;5.80E-18;-0.287948146;0.546;0.588;1.33E-13;CD4T;Lung
415;ZFP36L1;9.18E-18;0.318013845;0.48;0.368;2.10E-13;CD4T;Lung
416;CTSW;1.19E-17;-0.360126225;0.176;0.25;2.73E-13;CD4T;Lung
417;RNF125;1.38E-17;-0.325524946;0.187;0.263;3.15E-13;CD4T;Lung
418;GIMAP7;2.40E-17;-0.352605966;0.31;0.363;5.51E-13;CD4T;Lung
419;MYL12B;2.48E-17;-0.257041787;0.694;0.75;5.67E-13;CD4T;Lung
420;SEC61B;2.55E-17;-0.267801674;0.455;0.509;5.84E-13;CD4T;Lung
421;SPOCK2;2.94E-17;0.337022416;0.607;0.51;6.73E-13;CD4T;Lung
422;SUN2;3.99E-17;-0.301050681;0.2;0.27;9.13E-13;CD4T;Lung
423;MED10;4.40E-17;-0.272064682;0.249;0.306;1.01E-12;CD4T;Lung
424;FAM129A;5.15E-17;-0.261074395;0.307;0.336;1.18E-12;CD4T;Lung
425;RSRC2;5.43E-17;0.256677068;0.537;0.425;1.24E-12;CD4T;Lung
426;MTHFD2;6.12E-17;0.282912794;0.29;0.194;1.40E-12;CD4T;Lung
427;SELK;1.11E-16;0.322312819;0.703;0.618;2.53E-12;CD4T;Lung
428;FRMD4B;1.22E-16;-0.351031192;0.113;0.174;2.79E-12;CD4T;Lung
429;CEBPD;1.31E-16;-0.378267231;0.097;0.157;3.00E-12;CD4T;Lung
430;TPI1;1.45E-16;0.332584844;0.574;0.472;3.33E-12;CD4T;Lung
431;TUBB4B;1.54E-16;0.302705488;0.618;0.514;3.52E-12;CD4T;Lung
432;ZFAND5;1.69E-16;0.303787934;0.46;0.352;3.87E-12;CD4T;Lung
433;NDUFB9;3.14E-16;-0.267289205;0.297;0.371;7.20E-12;CD4T;Lung
434;SAMHD1;3.35E-16;-0.313674991;0.162;0.238;7.68E-12;CD4T;Lung
435;RAB9A;3.63E-16;0.396815451;0.21;0.132;8.30E-12;CD4T;Lung
436;SNX9;3.69E-16;0.306154963;0.275;0.182;8.46E-12;CD4T;Lung
437;PDCD1;6.00E-16;0.316338214;0.152;0.081;1.37E-11;CD4T;Lung
438;NMB;8.24E-16;0.514103954;0.127;0.067;1.89E-11;CD4T;Lung
439;NFKB1;9.77E-16;0.301678662;0.283;0.191;2.24E-11;CD4T;Lung
440;GLUD1;1.29E-15;-0.2958409;0.17;0.224;2.96E-11;CD4T;Lung
441;UBE2B;1.37E-15;0.295876391;0.566;0.471;3.13E-11;CD4T;Lung
442;CD47;1.51E-15;-0.272063405;0.273;0.336;3.47E-11;CD4T;Lung
443;LPXN;1.64E-15;0.250362412;0.26;0.171;3.75E-11;CD4T;Lung
444;NOSIP;1.71E-15;-0.266922447;0.271;0.32;3.92E-11;CD4T;Lung
445;LINC00869;1.77E-15;-0.260857455;0.18;0.244;4.04E-11;CD4T;Lung
446;AKIRIN2;1.85E-15;-0.260656828;0.222;0.267;4.23E-11;CD4T;Lung
447;DAD1;1.90E-15;-0.271426883;0.333;0.393;4.35E-11;CD4T;Lung
448;RABGAP1L;2.43E-15;0.256940953;0.217;0.136;5.57E-11;CD4T;Lung
449;LYAR;3.89E-15;-0.318850958;0.173;0.234;8.92E-11;CD4T;Lung
450;APOBEC3G;4.46E-15;-0.325163719;0.186;0.248;1.02E-10;CD4T;Lung
451;TSPYL2;7.92E-15;0.333866617;0.391;0.292;1.81E-10;CD4T;Lung
452;TBCB;9.01E-15;-0.278253854;0.204;0.265;2.06E-10;CD4T;Lung
453;HLA.DRB1;1.00E-14;-0.301967112;0.279;0.361;2.29E-10;CD4T;Lung
454;CYTH1;1.26E-14;-0.26935244;0.165;0.224;2.88E-10;CD4T;Lung
455;CNOT6L;1.45E-14;0.274842126;0.517;0.415;3.33E-10;CD4T;Lung
456;BIRC3;2.19E-14;0.299119635;0.8;0.723;5.00E-10;CD4T;Lung
457;LUC7L3;2.94E-14;-0.256764649;0.395;0.445;6.74E-10;CD4T;Lung
458;XBP1;3.31E-14;-0.258470965;0.369;0.43;7.58E-10;CD4T;Lung
459;PRF1;7.74E-14;-0.288362184;0.068;0.122;1.77E-09;CD4T;Lung
460;CST7;8.16E-14;-0.268864016;0.276;0.352;1.87E-09;CD4T;Lung
461;TANK;9.14E-14;0.316824682;0.488;0.392;2.09E-09;CD4T;Lung
462;ARHGAP30;9.53E-14;-0.252785238;0.15;0.202;2.18E-09;CD4T;Lung
463;KLF2;1.03E-13;-0.271651169;0.41;0.493;2.35E-09;CD4T;Lung
464;ZBTB38;1.05E-13;0.252201112;0.225;0.147;2.41E-09;CD4T;Lung
465;CD40LG;1.20E-13;-0.331760354;0.254;0.331;2.76E-09;CD4T;Lung
466;CD28;1.37E-13;0.292055789;0.241;0.161;3.13E-09;CD4T;Lung
467;ID2;1.37E-13;-0.264319672;0.62;0.683;3.14E-09;CD4T;Lung
468;SLC38A2;1.37E-13;0.273246814;0.33;0.239;3.15E-09;CD4T;Lung
469;SH2D1A;1.41E-13;0.310876834;0.249;0.169;3.23E-09;CD4T;Lung
470;CTSD;1.88E-13;-0.260829862;0.346;0.377;4.31E-09;CD4T;Lung
471;GLUL;2.67E-13;-0.271637453;0.272;0.309;6.12E-09;CD4T;Lung
472;GNL3;3.30E-13;0.276554656;0.269;0.186;7.56E-09;CD4T;Lung
473;GZMM;4.47E-13;-0.254749224;0.172;0.233;1.02E-08;CD4T;Lung
474;C1ORF162;5.97E-13;-0.252907833;0.097;0.146;1.37E-08;CD4T;Lung
475;CHD2;5.99E-13;0.254121769;0.274;0.191;1.37E-08;CD4T;Lung
476;MRPS6;6.48E-13;0.267156221;0.331;0.243;1.48E-08;CD4T;Lung
477;CYCS;6.71E-13;0.334810579;0.613;0.524;1.54E-08;CD4T;Lung
478;RHBDD2;9.03E-13;0.268498936;0.329;0.241;2.07E-08;CD4T;Lung
479;HMGB2;9.31E-13;0.307406381;0.644;0.565;2.13E-08;CD4T;Lung
480;GGNBP2;9.58E-13;-0.263533348;0.221;0.276;2.19E-08;CD4T;Lung
481;M6PR;1.63E-12;-0.263137202;0.21;0.267;3.73E-08;CD4T;Lung
482;ZFP36;3.23E-12;0.283764715;0.809;0.775;7.40E-08;CD4T;Lung
483;LY6E;6.02E-12;-0.251093375;0.343;0.414;1.38E-07;CD4T;Lung
484;CD74;7.14E-12;0.376208342;0.798;0.745;1.63E-07;CD4T;Lung
485;SYTL3;7.47E-12;-0.251495865;0.343;0.411;1.71E-07;CD4T;Lung
486;TLE4;1.93E-11;-0.267195102;0.203;0.268;4.42E-07;CD4T;Lung
487;ISG20;2.48E-11;0.257918536;0.663;0.598;5.67E-07;CD4T;Lung
488;RP11.51J9.5;6.01E-11;0.357391299;0.289;0.216;1.38E-06;CD4T;Lung
489;GZMA;6.25E-11;-0.332581786;0.218;0.28;1.43E-06;CD4T;Lung
490;GADD45G;2.59E-10;0.287440475;0.159;0.101;5.93E-06;CD4T;Lung
491;ZEB2;4.32E-10;-0.293132165;0.08;0.116;9.88E-06;CD4T;Lung
492;CASP8;5.04E-10;-0.254109606;0.232;0.287;1.15E-05;CD4T;Lung
493;ACP5;1.00E-09;-0.263739196;0.097;0.128;2.29E-05;CD4T;Lung
494;ITM2A;6.68E-09;0.339879236;0.445;0.379;0.00015297;CD4T;Lung
495;LINC00152;1.30E-08;0.269223903;0.315;0.244;0.000296552;CD4T;Lung
496;SESN1;1.65E-08;0.261077784;0.121;0.081;0.000378503;CD4T;Lung
497;ISG15;3.45E-08;0.311011549;0.393;0.322;0.000790317;CD4T;Lung
498;GZMB;2.89E-07;-0.333612134;0.093;0.133;0.006611915;CD4T;Lung
499;NEAT1;4.04E-07;-0.274470576;0.79;0.816;0.00925843;CD4T;Lung
500;PGM2L1;4.21E-07;0.26186237;0.135;0.097;0.00964974;CD4T;Lung
501;DNAJA1;0;2.079465532;0.896;0.648;0;CD8T;Lung
502;DNAJB1;0;2.762291989;0.937;0.578;0;CD8T;Lung
503;HSP90AA1;0;2.859920551;0.984;0.912;0;CD8T;Lung
504;HSP90AB1;0;2.360202059;0.938;0.737;0;CD8T;Lung
505;HSPA1A;0;3.626684583;0.94;0.286;0;CD8T;Lung
506;HSPA1B;0;2.735966536;0.874;0.187;0;CD8T;Lung
507;HSPA8;0;2.03874136;0.95;0.843;0;CD8T;Lung
508;HSPD1;0;2.811143707;0.848;0.371;0;CD8T;Lung
509;HSPE1;0;2.491060423;0.916;0.545;0;CD8T;Lung
510;HSPH1;0;3.074278462;0.841;0.237;0;CD8T;Lung
511;UBB;0;1.765705291;0.959;0.876;0;CD8T;Lung
512;HSPB1;2.17E-288;2.556361684;0.737;0.214;4.97E-284;CD8T;Lung
513;IGKC;1.03E-279;2.139103718;0.579;0.049;2.35E-275;CD8T;Lung
514;CACYBP;5.95E-278;2.039877319;0.747;0.256;1.36E-273;CD8T;Lung
515;IGHA1;2.41E-231;1.68796828;0.442;0.01;5.52E-227;CD8T;Lung
516;ZFAND2A;2.25E-226;2.211599696;0.569;0.09;5.15E-222;CD8T;Lung
517;UBC;3.66E-221;1.393168167;0.947;0.908;8.38E-217;CD8T;Lung
518;SFTPC;2.92E-214;-1.347773536;0.028;0.396;6.68E-210;CD8T;Lung
519;HSPA6;3.01E-214;3.009650651;0.51;0.053;6.89E-210;CD8T;Lung
520;JUN;1.28E-206;1.716171356;0.85;0.509;2.93E-202;CD8T;Lung
521;SERPINH1;9.38E-202;2.117153453;0.479;0.045;2.15E-197;CD8T;Lung
522;FKBP4;3.57E-200;1.909222765;0.522;0.088;8.18E-196;CD8T;Lung
523;SOD1;3.80E-164;1.276441758;0.789;0.58;8.71E-160;CD8T;Lung
524;DEDD2;2.32E-162;1.502122894;0.572;0.176;5.31E-158;CD8T;Lung
525;IGLC2;2.09E-151;1.322839464;0.317;0.008;4.79E-147;CD8T;Lung
526;DUSP4;2.95E-149;1.93164559;0.568;0.187;6.75E-145;CD8T;Lung
527;S100A4;1.16E-148;-1.107783024;0.635;0.888;2.65E-144;CD8T;Lung
528;MRPL18;5.82E-148;1.579322612;0.542;0.152;1.33E-143;CD8T;Lung
529;NR4A1;5.71E-146;1.66008476;0.541;0.158;1.31E-141;CD8T;Lung
530;CHORDC1;1.60E-145;1.576938841;0.502;0.126;3.67E-141;CD8T;Lung
531;AHSA1;1.02E-144;1.412024572;0.547;0.166;2.34E-140;CD8T;Lung
532;BAG3;3.89E-144;1.574916392;0.394;0.047;8.91E-140;CD8T;Lung
533;KLRG1;2.03E-135;-1.193887043;0.104;0.449;4.64E-131;CD8T;Lung
534;H3F3B;9.04E-128;0.817844515;0.968;0.945;2.07E-123;CD8T;Lung
535;DNAJB4;4.91E-124;1.459827017;0.418;0.083;1.12E-119;CD8T;Lung
536;DNAJB6;2.08E-123;1.199050641;0.703;0.436;4.76E-119;CD8T;Lung
537;EIF5;5.91E-123;1.039543068;0.764;0.565;1.35E-118;CD8T;Lung
538;RGS2;2.81E-121;1.722882713;0.698;0.412;6.43E-117;CD8T;Lung
539;CMC1;6.12E-113;-1.390469046;0.295;0.596;1.40E-108;CD8T;Lung
540;DNAJA4;2.53E-108;1.313060639;0.303;0.032;5.79E-104;CD8T;Lung
541;RPL3;6.38E-107;-0.520683782;0.976;0.975;1.46E-102;CD8T;Lung
542;CXCL13;1.96E-104;2.900208604;0.202;0;4.50E-100;CD8T;Lung
543;DYNLL1;8.57E-104;1.044826682;0.74;0.525;1.96E-99;CD8T;Lung
544;RPL7;1.53E-101;-0.50950864;0.96;0.965;3.50E-97;CD8T;Lung
545;HLA.C;2.59E-101;-0.558364306;0.98;0.99;5.93E-97;CD8T;Lung
546;PTGES3;2.61E-101;1.080182712;0.69;0.463;5.98E-97;CD8T;Lung
547;RGS1;3.35E-101;1.613504766;0.78;0.531;7.67E-97;CD8T;Lung
548;SQSTM1;1.70E-97;1.200087808;0.648;0.393;3.89E-93;CD8T;Lung
549;EGR1;1.69E-95;1.36723765;0.348;0.072;3.87E-91;CD8T;Lung
550;S1PR5;1.00E-94;-0.69497683;0.007;0.168;2.30E-90;CD8T;Lung
551;MT.CYB;4.31E-92;-0.678029511;0.948;0.981;9.87E-88;CD8T;Lung
552;FGFBP2;8.72E-92;-0.90963669;0.007;0.164;2.00E-87;CD8T;Lung
553;PPP1R2;2.73E-91;1.130386907;0.69;0.432;6.25E-87;CD8T;Lung
554;ANKRD37;5.06E-90;1.317741515;0.438;0.145;1.16E-85;CD8T;Lung
555;CKS2;1.71E-89;1.134628423;0.548;0.256;3.91E-85;CD8T;Lung
556;EEF1A1;6.66E-89;-0.45253958;0.993;0.993;1.52E-84;CD8T;Lung
557;STIP1;6.72E-87;1.029787055;0.375;0.102;1.54E-82;CD8T;Lung
558;RPL5;5.22E-85;-0.49662468;0.925;0.944;1.19E-80;CD8T;Lung
559;TCP1;2.19E-84;1.005521111;0.529;0.25;5.01E-80;CD8T;Lung
560;MYL12A;1.14E-83;-0.70546832;0.7;0.866;2.61E-79;CD8T;Lung
561;MT.ND3;1.59E-82;-0.58471224;0.943;0.986;3.65E-78;CD8T;Lung
562;MYO1F;2.50E-81;-0.919831916;0.145;0.415;5.72E-77;CD8T;Lung
563;NKG7;6.42E-81;-0.862922717;0.708;0.799;1.47E-76;CD8T;Lung
564;PRF1;2.92E-80;-1.03220733;0.254;0.518;6.68E-76;CD8T;Lung
565;PPP1R15A;3.05E-78;0.959759068;0.67;0.434;6.98E-74;CD8T;Lung
566;RPL6;1.76E-76;-0.442359669;0.962;0.966;4.02E-72;CD8T;Lung
567;KLF2;2.61E-75;-0.78391734;0.306;0.607;5.97E-71;CD8T;Lung
568;NEU1;3.60E-75;1.246070724;0.389;0.139;8.25E-71;CD8T;Lung
569;AES;6.69E-75;-0.863017911;0.221;0.482;1.53E-70;CD8T;Lung
570;MT.ND2;3.42E-74;-0.597654937;0.97;0.99;7.84E-70;CD8T;Lung
571;EMP3;2.15E-73;-0.872351977;0.322;0.579;4.92E-69;CD8T;Lung
572;DOK2;6.62E-73;1.037341189;0.492;0.24;1.51E-68;CD8T;Lung
573;IGHM;2.69E-72;0.76348126;0.163;0.004;6.16E-68;CD8T;Lung
574;SAMSN1;4.21E-69;0.988579011;0.633;0.44;9.65E-65;CD8T;Lung
575;RPS3A;2.76E-68;-0.366531191;0.977;0.969;6.31E-64;CD8T;Lung
576;ITGB2;9.03E-68;-0.821414241;0.349;0.599;2.07E-63;CD8T;Lung
577;RPL11;3.70E-67;-0.38393204;0.977;0.979;8.47E-63;CD8T;Lung
578;PLEK;3.73E-67;-0.790401706;0.057;0.25;8.55E-63;CD8T;Lung
579;CCT4;6.05E-66;0.897564016;0.511;0.276;1.39E-61;CD8T;Lung
580;RPL34;6.16E-66;-0.351091008;0.985;0.975;1.41E-61;CD8T;Lung
581;MT.ND1;5.67E-65;-0.541749656;0.934;0.974;1.30E-60;CD8T;Lung
582;HCST;1.14E-64;-0.694744925;0.62;0.783;2.61E-60;CD8T;Lung
583;FAM65B;2.91E-63;-0.737788386;0.064;0.253;6.65E-59;CD8T;Lung
584;ATF3;5.80E-63;1.160700535;0.367;0.13;1.33E-58;CD8T;Lung
585;RPS10;8.06E-63;-0.451569518;0.868;0.9;1.85E-58;CD8T;Lung
586;CST7;1.12E-62;-0.666164517;0.593;0.802;2.57E-58;CD8T;Lung
587;BTG1;1.15E-62;0.697267269;0.986;0.982;2.62E-58;CD8T;Lung
588;PTMA;1.26E-62;0.434625306;0.985;0.979;2.89E-58;CD8T;Lung
589;GZMM;1.94E-62;-0.783957108;0.28;0.527;4.44E-58;CD8T;Lung
590;FCGR3A;5.09E-62;-0.907606971;0.028;0.174;1.17E-57;CD8T;Lung
591;IGLC3;1.27E-61;0.529879469;0.132;0.002;2.91E-57;CD8T;Lung
592;EIF4A3;1.69E-61;1.007627021;0.489;0.27;3.87E-57;CD8T;Lung
593;GPBP1;9.04E-61;0.806324881;0.608;0.382;2.07E-56;CD8T;Lung
594;ZNF331;1.03E-58;0.920146486;0.627;0.408;2.35E-54;CD8T;Lung
595;BIN2;1.63E-58;-0.784080412;0.247;0.475;3.72E-54;CD8T;Lung
596;SRSF7;2.16E-58;0.726007382;0.843;0.788;4.95E-54;CD8T;Lung
597;SLC7A5;2.26E-58;0.906127273;0.307;0.094;5.18E-54;CD8T;Lung
598;HSPA4;3.43E-57;0.83643816;0.314;0.103;7.86E-53;CD8T;Lung
599;LYAR;6.48E-57;-0.7592596;0.304;0.545;1.48E-52;CD8T;Lung
600;C12ORF75;1.12E-56;-0.746519418;0.184;0.408;2.57E-52;CD8T;Lung
601;MB21D1;3.77E-56;0.740224593;0.237;0.051;8.64E-52;CD8T;Lung
602;YPEL5;1.05E-55;0.7984776;0.642;0.452;2.41E-51;CD8T;Lung
603;RPS6;1.46E-55;-0.341773092;0.98;0.979;3.35E-51;CD8T;Lung
604;RPS14;1.19E-54;-0.33299579;0.985;0.976;2.71E-50;CD8T;Lung
605;KLRD1;1.75E-54;-1.02671693;0.263;0.452;4.00E-50;CD8T;Lung
606;PLAC8;1.03E-53;-0.746808931;0.087;0.275;2.36E-49;CD8T;Lung
607;JUND;1.07E-53;0.722690408;0.507;0.259;2.45E-49;CD8T;Lung
608;MT.CO2;1.31E-53;-0.460212725;0.976;0.992;3.00E-49;CD8T;Lung
609;SLC5A3;2.24E-53;0.760419144;0.239;0.056;5.12E-49;CD8T;Lung
610;RPSA;1.17E-52;-0.41354163;0.932;0.955;2.68E-48;CD8T;Lung
611;H2AFZ;1.30E-52;0.853763676;0.67;0.517;2.98E-48;CD8T;Lung
612;TRA2B;1.79E-52;0.780696453;0.59;0.379;4.09E-48;CD8T;Lung
613;RPL14;3.09E-52;-0.354215067;0.955;0.963;7.08E-48;CD8T;Lung
614;ARL4C;9.10E-52;-0.699968891;0.256;0.49;2.08E-47;CD8T;Lung
615;HLA.E;2.54E-51;-0.424625561;0.919;0.961;5.81E-47;CD8T;Lung
616;PRDX1;1.69E-50;0.815761039;0.535;0.369;3.87E-46;CD8T;Lung
617;RPS8;6.85E-50;-0.34828787;0.972;0.974;1.57E-45;CD8T;Lung
618;TANK;1.30E-49;0.91562677;0.412;0.232;2.98E-45;CD8T;Lung
619;RPL21;3.58E-49;-0.322711763;0.986;0.978;8.19E-45;CD8T;Lung
620;ZFP36L2;7.63E-49;-0.465660734;0.869;0.956;1.75E-44;CD8T;Lung
621;TUBB4B;8.58E-49;0.809245238;0.605;0.439;1.96E-44;CD8T;Lung
622;FABP4;2.81E-48;-0.58728403;0.007;0.1;6.44E-44;CD8T;Lung
623;TNFSF14;2.84E-48;1.004124847;0.249;0.077;6.51E-44;CD8T;Lung
624;RPS27;2.87E-48;-0.353025778;0.993;0.99;6.56E-44;CD8T;Lung
625;RPS3;3.23E-48;-0.276582137;0.988;0.973;7.39E-44;CD8T;Lung
626;S100A6;3.52E-48;-0.528385443;0.719;0.857;8.07E-44;CD8T;Lung
627;CLEC2B;3.53E-48;0.896150764;0.616;0.495;8.08E-44;CD8T;Lung
628;NUDC;1.01E-47;0.793003017;0.429;0.232;2.32E-43;CD8T;Lung
629;RBPJ;2.24E-47;0.920557265;0.372;0.186;5.12E-43;CD8T;Lung
630;NFKBIE;2.65E-47;0.638990962;0.169;0.026;6.08E-43;CD8T;Lung
631;RPL26;3.17E-47;-0.300138393;0.982;0.971;7.25E-43;CD8T;Lung
632;MORF4L2;3.57E-47;0.804882528;0.414;0.217;8.18E-43;CD8T;Lung
